id,sprint,section,status,classification,confidence,attestationJson,attProvenance,attVerdict,attSpecPlan,commitCount,prRefs,deliverable,implRefs,evidence,gaps,possibleFalsePositive,fpJustification,description
IFC-013,6,MVP Week 1,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-002: tRPC Router Implementation
IFC-014,6,MVP Week 1,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=true); 1 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,PHASE-002: Next.js 16.0.10 App Router UI
IFC-015,6,MVP Week 1,Completed,entregue-comprovada,95,true,true,COMPLETE,,0,481,,0,"attestation.json(verdict=COMPLETE,prov=true); PRs:481",,false,,PHASE-002: BullMQ Job Queue Setup
IFC-016,6,MVP Week 1,Completed,entregue-comprovada,95,true,true,COMPLETE,,4,,,6,"attestation.json(verdict=COMPLETE,prov=true); 4 commits; 6 impl-refs",,false,,PHASE-002: Real-time Subscriptions
IFC-017,6,MVP Week 1,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,3,,,1,"attestation.json(verdict=COMPLETE,prov=false); 3 commits; 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-002: Prisma + Supabase Data Layer
IFC-018,6,MVP Week 1,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,PHASE-002: Vitest Testing Suite
IFC-019,6,Investment Gate,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-001: Gate 1 Review - £500 Investment
IFC-020,6,Intelligence,Completed,entregue-comprovada,95,true,true,COMPLETE,,2,,,7,"attestation.json(verdict=COMPLETE,prov=true); 2 commits; 7 impl-refs",,false,,PHASE-011: LangChain Pipeline Design
IFC-021,6,Intelligence,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,4,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; 4 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-011: CrewAI Agent Framework
IFC-022,6,Intelligence,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,1,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-011: Structured AI Output Implementation
IFC-023,6,Intelligence,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,2,,,9,"attestation.json(verdict=COMPLETE,prov=false); 2 commits; 9 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-011: AI Explainability UI
IFC-024,14,Intelligence,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,25,"attestation.json(verdict=COMPLETE,prov=false); 25 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-011: Human-in-the-Loop Feedback
IFC-025,6,Intelligence,Completed,entregue-comprovada,95,true,true,COMPLETE,,4,,,26,"attestation.json(verdict=COMPLETE,prov=true); 4 commits; 26 impl-refs",,false,,PHASE-011: A/B Testing Framework
IFC-026,15,Intelligence,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,PHASE-011: Playwright E2E Testing
IFC-027,15,Investment Gate,Completed,entregue-comprovada,95,true,true,COMPLETE,,3,,,0,"attestation.json(verdict=COMPLETE,prov=true); 3 commits",,false,,PHASE-001: Gate 2 Review - £2000 Investment
IFC-028,16,Automation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,15,"attestation.json(verdict=COMPLETE,prov=false); 15 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-005: Workflow Engine with LangGraph
IFC-029,16,Automation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,24,,,40,"attestation.json(verdict=COMPLETE,prov=false); 24 commits; 40 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-005: Auto-Response with Approval Gate
IFC-030,17,Automation,Completed,entregue-comprovada,95,true,true,COMPLETE,,0,265,,11,"attestation.json(verdict=COMPLETE,prov=true); PRs:265; 11 impl-refs",,false,,PHASE-005: Smart Lead Routing
IFC-031,17,Automation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,7,265,,48,"attestation.json(verdict=COMPLETE,prov=false); 7 commits; PRs:265; 48 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-005: Workflow Builder UI (React Flow)
IFC-032,18,Automation,Completed,entregue-comprovada,95,true,true,COMPLETE,,6,523|515,,4,"attestation.json(verdict=COMPLETE,prov=true); 6 commits; PRs:523,515; 4 impl-refs",,false,,PHASE-005: OpenTelemetry Monitoring
IFC-039,6,Enhancement,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,12,"attestation.json(verdict=COMPLETE,prov=true); 12 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Advanced AI Features (RAG)
IFC-042,12,Documentation,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=true); 1 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,tRPC API Client SDK Docs
IFC-045,14,Testing,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Integration Tests (Vitest + MSW)
IFC-054,7,Risk Mgmt,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Technical Complexity Monitoring
IFC-055,8,Risk Mgmt,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,289,,2,"attestation.json(verdict=COMPLETE,prov=false); PRs:289; 2 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Budget Tracking with FinOps
IFC-056,9,Risk Mgmt,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,0,"attestation.json(verdict=COMPLETE,prov=false); 1 commits","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Team Upskilling Program
IFC-057,9,Risk Mgmt,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=false); 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Vendor Lock-in Mitigation
IFC-058,11,Compliance,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=true); 1 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,"GDPR baseline controls: Supabase RLS policies, data minimisation, retention hooks"
IFC-061,14,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,10,"attestation.json(verdict=COMPLETE,prov=true); 10 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,FLOW-006: Lead to Contact Conversion Logic
IFC-062,14,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,7,"attestation.json(verdict=COMPLETE,prov=true); 7 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,FLOW-006: Lead to Deal Conversion Logic
IFC-063,14,Core CRM,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,10,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 10 impl-refs",,false,,FLOW-007: Pipeline Stage Customization
IFC-064,14,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,18,"attestation.json(verdict=COMPLETE,prov=true); 18 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,FLOW-007: Kanban Drag-Drop Persistence
IFC-065,14,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,8,"attestation.json(verdict=COMPLETE,prov=true); 8 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,FLOW-009: Deal Won Closure Workflow
IFC-066,14,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,8,"attestation.json(verdict=COMPLETE,prov=true); 8 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,FLOW-009: Deal Lost Closure Workflow
IFC-067,14,Support,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,6,,,15,"attestation.json(verdict=COMPLETE,prov=false); 6 commits; 15 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,FLOW-012: Automatic Ticket Routing Engine
IFC-068,14,Analytics,Completed,entregue-comprovada,95,true,true,COMPLETE,,8,,,26,"attestation.json(verdict=COMPLETE,prov=true); 8 commits; 26 impl-refs",,false,,FLOW-015: Feedback Analytics Dashboard
IFC-069,14,Core CRM,Completed,entregue-comprovada,95,true,true,COMPLETE,,7,,,27,"attestation.json(verdict=COMPLETE,prov=true); 7 commits; 27 impl-refs",,false,,FLOW-020: Unified Activity Feed Service
IFC-070,18,Migration,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Data Migration from Legacy
IFC-072,2,Security,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,3,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 3 impl-refs",,false,,PHASE-040: Zero Trust Security Model
IFC-073,2,Compliance,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=false); 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-040: Privacy Impact Assessment
IFC-074,1,Observability,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,9,"attestation.json(verdict=COMPLETE,prov=false); 9 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-040: Full Stack Observability
IFC-075,1,Infrastructure,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,IaC with Terraform
IFC-076,10,Quality,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,3,,,2,"attestation.json(verdict=COMPLETE,prov=false); 3 commits; 2 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Component Library (shadcn/ui)
IFC-077,8,Security,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=false); 1 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-035: API Rate Limiting (tRPC + Upstash)
IFC-078,18,Platform,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,9,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; 9 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Platform Engineering Foundation
IFC-079,7,Documentation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-041: Docusaurus Setup
IFC-080,7,Documentation,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,PHASE-041: LLM-Friendly Documentation Templates
IFC-081,12,Documentation,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,API Documentation (tRPC + OpenAPI)
IFC-082,7,Documentation,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Domain Knowledge Base
IFC-085,2,AI/ML,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,2,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 2 impl-refs",,false,,PHASE-040: Ollama Local Development
IFC-086,14,AI/ML,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,2,,,36,"attestation.json(verdict=COMPLETE,prov=false); 2 commits; 36 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Model Versioning with Zep
IFC-088,14,Quality,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Continuous Quality Metrics
IFC-089,5,Core CRM,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,edit,17,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; web-route:edit; 17 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,"FLOW-005-A, FLOW-006, FLOW-014, FLOW-010-A: Contacts Module - Create/Edit/Search"
IFC-090,6,Core CRM,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Contact 360 Page - Full Detail View
IFC-091,6,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Deals Pipeline - Kanban Board
IFC-092,7,Core CRM,Completed,entregue-comprovada,95,true,true,COMPLETE,,8,,,3,"attestation.json(verdict=COMPLETE,prov=true); 8 commits; 3 impl-refs",,false,,Deal Forecasting & Reporting
IFC-093,7,Core CRM,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,3,"attestation.json(verdict=COMPLETE,prov=true); 3 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Tickets Module - SLA Tracking
IFC-094,8,Core CRM,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,6,"attestation.json(verdict=COMPLETE,prov=false); 6 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Documents Management - Upload & Sign
IFC-095,6,AI Insights,Completed,entregue-comprovada,95,true,true,COMPLETE,,11,,,59,"attestation.json(verdict=COMPLETE,prov=true); 11 commits; 59 impl-refs",,false,,Churn Risk & Next Best Action
IFC-096,9,Reports,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Custom Reports & Dashboards
IFC-097,9,Ops & Observability,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=false)","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Distributed Tracing & Logging
IFC-098,5,Security,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,18,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; 18 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,RBAC/ABAC & Audit Trail
IFC-099,10,Integrations,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,payment-methods,20,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; web-route:payment-methods; 20 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,ERP/Payment/Email Connectors
IFC-100,6,Governance,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,3,"attestation.json(verdict=COMPLETE,prov=false); 3 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,ADR Registry & Compliance Reporting
PG-001,11,Public Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,2,,,0,"attestation.json(verdict=COMPLETE,prov=true); 2 commits",,false,,Home Page (Public)
PG-002,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,2,"attestation.json(verdict=COMPLETE,prov=true); 2 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Features Page
PG-003,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,2,"attestation.json(verdict=COMPLETE,prov=true); 2 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Pricing Page
PG-004,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,About Page
PG-005,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Contact Page
PG-006,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,0,"attestation.json(verdict=COMPLETE,prov=true)","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Partners Page
PG-007,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=true); 1 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Press Page
PG-008,11,Public Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,1,"attestation.json(verdict=COMPLETE,prov=true); 1 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Security Page
PG-009,12,Public Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,3,,,0,"attestation.json(verdict=COMPLETE,prov=true); 3 commits",,false,,Blog Index
PG-010,12,Public Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,2,,,0,"attestation.json(verdict=COMPLETE,prov=true); 2 commits",,false,,Blog Post
PG-011,12,Public Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,0,"attestation.json(verdict=COMPLETE,prov=true); 1 commits",,false,,Careers Page
PG-012,12,Public Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,0,"attestation.json(verdict=COMPLETE,prov=true); 1 commits",,false,,Career Detail
PG-013,12,Marketing Pages,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,0,,,3,"attestation.json(verdict=COMPLETE,prov=false); 3 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Landing Page Template
PG-014,12,Public Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,2,,,1,"attestation.json(verdict=COMPLETE,prov=true); 2 commits; 1 impl-refs",,false,,Status Page
PG-015,13,Auth Pages,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,11,,,18,"attestation.json(verdict=COMPLETE,prov=false); 11 commits; 18 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Sign In
PG-016,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,3,,,15,"attestation.json(verdict=COMPLETE,prov=true); 3 commits; 15 impl-refs",,false,,Sign Up
PG-017,13,Auth Pages,Completed,entregue-sem-evidencia,68,true,false,COMPLETE,,1,,,3,"attestation.json(verdict=COMPLETE,prov=false); 1 commits; 3 impl-refs","attestation.json present but provenance incomplete (provenance=false, verdict='COMPLETE') — pre-ADR-068 schema",false,,Sign Up Success
PG-018,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,16,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 16 impl-refs",,false,,Logout
PG-019,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,3,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 3 impl-refs",,false,,Forgot Password
PG-020,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,5,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 5 impl-refs",,false,,Reset Password
PG-021,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,10,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 10 impl-refs",,false,,MFA Setup
PG-022,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,10,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 10 impl-refs",,false,,MFA Verify
PG-023,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,3,,,6,"attestation.json(verdict=COMPLETE,prov=true); 3 commits; 6 impl-refs",,false,,Email Verification
PG-024,13,Auth Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,3,,,9,"attestation.json(verdict=COMPLETE,prov=true); 3 commits; 9 impl-refs",,false,,SSO Callback
PG-025,14,Billing Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,9,,,13,"attestation.json(verdict=COMPLETE,prov=true); 9 commits; 13 impl-refs",,false,,Billing Portal
PG-026,14,Billing Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,11,"attestation.json(verdict=COMPLETE,prov=true); 11 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Checkout
PG-027,14,Billing Pages,Completed,entregue-comprovada,85,true,true,COMPLETE,,0,,,5,"attestation.json(verdict=COMPLETE,prov=true); 5 impl-refs","canonical attestation w/ provenance+PASS, but task-ID not found in commit/PR text",false,,Invoices
PG-028,14,Billing Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,3,,,17,"attestation.json(verdict=COMPLETE,prov=true); 3 commits; 17 impl-refs",,false,,Invoice Detail
PG-029,14,Billing Pages,Completed,entregue-comprovada,95,true,true,COMPLETE,,1,,,8,"attestation.json(verdict=COMPLETE,prov=true); 1 commits; 8 impl-refs",,false,,Payment Methods
