Task ID,Section,Owner,Planned Status,Percent Complete,Category,Delivered (on-disk primary),Attestation,Attest Verdict,4/4 Validations,KPI Gap,Spec,Plan,Declared Artifacts,Artifacts@DeclaredPath,Artifact Path Drift,Shipped Title-Hit PRs,Synthetic Timestamp,Completed At,Duration (min),Evidence Note
IFC-212,AI/ML,Backend Dev + AI Specialist (STOA-Intelligence),Completed,0,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,YES,YES,NO,NO,4,2,NO,59,NO,,,"Shipped via #59 ""feat(IFC-212): Redis monitoring snapshot bridge"" (title hit) + follow-up commit ef7a9f0c5 wiring QueueAIService as default. CSV row stale."
IFC-214,AI/ML,Backend Dev + AI Specialist (STOA-Intelligence),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,5,4,NO,,NO,2026-06-28T21:06:58.106Z,59,
IFC-215,AI/ML,AI Specialist + Backend Dev (STOA-Intelligence),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,5,5,NO,,YES,2026-06-29T09:13:25.614Z,15,
IFC-227,Core CRM,Frontend Dev (STOA-Quality),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,NO,2026-04-27T00:00:00Z,180,
IFC-230,Core CRM,Frontend Dev (STOA-Quality),Completed,0,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,YES,YES,NO,NO,3,3,NO,,NO,2026-06-15T16:30:00.000Z,190,
IFC-234,Core CRM,Frontend Dev (STOA-Quality),Completed,100,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,NO,NO,NO,NO,4,4,NO,,NO,2026-06-29T14:20:00Z,120,
IFC-240,Core CRM,Backend Dev (STOA-Security),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,YES,2026-06-26T19:20:18.041Z,15,
IFC-242,Core CRM,Frontend Dev (STOA-Quality),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,NO,2026-06-15T00:30:00.000Z,150,
IFC-247,Core CRM,Frontend Dev (STOA-Quality),Completed,75,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,YES,YES,1,1,NO,,YES,2026-06-29T09:13:25.614Z,15,
IFC-248,Core CRM,Frontend Dev (STOA-Quality),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,1,YES,,NO,2026-06-28T20:42:00Z,105,
IFC-255,Core CRM,Backend Dev (STOA-Domain),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,YES,2026-06-26T19:20:18.041Z,15,
IFC-256,Core CRM,Frontend Dev (STOA-Quality),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,NO,2026-06-10T23:15:00.000Z,40,
IFC-257,Core CRM,Frontend Dev (STOA-Quality),In Progress,80,C07_IN_PROGRESS,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,NO,,,
IFC-265,Core CRM,Frontend Dev (STOA-Quality),Completed,10,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,NO,2026-06-13T15:25:00Z,160,
IFC-266,Core CRM,Frontend Dev (STOA-Quality),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,NO,2026-06-14T00:00:00Z,240,
IFC-270,Core CRM,Backend Dev (STOA-Domain),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,NO,2026-06-13T01:30:00Z,90,
IFC-271,Core CRM,Backend Dev (STOA-Domain),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,381,NO,,,"Shipped via #381 ""fix(IFC-271): account domain model fixes (D-01, B-15, B-16, B-06)"" — exactly the row DoD. CSV row stale."
IFC-273,Core CRM,Frontend Dev (STOA-Quality),Completed,20,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,4,4,NO,,NO,2026-06-13T10:50:00Z,110,
IFC-280,Core CRM,Frontend Dev (STOA-Quality),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,NO,2026-06-13T14:50:00.000Z,25,
IFC-282,Core CRM,Backend Dev (STOA-Domain),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,4,4,NO,,NO,2026-06-13T10:00:00Z,200,
IFC-287,Core CRM,Frontend Dev (STOA-Quality),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,YES,2026-06-26T19:20:18.041Z,15,
PG-180,Support Pages,Support Eng (STOA-Domain),Completed,100,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,YES,YES,NO,NO,2,2,NO,,NO,2026-04-19T22:50:00Z,15,
IFC-301,Infrastructure,Frontend Dev (STOA-Foundation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,YES,2026-06-26T19:20:18.041Z,15,
PG-181,Support Pages,Support Eng (STOA-Domain),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,2,2,NO,,YES,2026-06-26T19:20:18.041Z,15,
IFC-302,Support,Support Eng (STOA-Domain),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-187,Settings,Frontend Dev (STOA-Foundation),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,NO,2026-04-19T23:45:00.000Z,15,
PG-188,Settings,Frontend Dev (STOA-Foundation),Completed,80,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-189,Settings,Frontend Dev (STOA-Foundation),Completed,100,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,YES,YES,NO,NO,1,1,NO,,NO,2026-04-19T02:02:00Z,15,
PG-190,Settings,Frontend Dev (STOA-Foundation),Completed,100,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,YES,YES,NO,NO,7,7,NO,,NO,2026-04-19T02:05:00.000Z,15,
PG-191,Settings,Frontend Dev (STOA-Foundation),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,1,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
IFC-309,Compliance,Tech Lead (STOA-Domain),Completed,0,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,NO,NO,YES,YES,4,3,NO,,NO,2026-06-30T13:29:03.498Z,15,
IFC-310,Core CRM,Backend Eng (STOA-Domain),Completed,100,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,YES,YES,NO,NO,33,33,NO,,NO,2026-04-20T22:50:00.000Z,15,
IFC-311,Core CRM,Backend Eng (STOA-Domain),Completed,100,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,9,9,NO,,NO,2026-04-20T23:55:00.000Z,15,
PG-196,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-197,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-198,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-199,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-200,Settings,Frontend Dev (STOA-Foundation),Completed,0,C02_DELIVERED_ATTESTED_KPI_GAP,YES,YES,COMPLETE,NO,NO,NO,NO,4,3,YES,,NO,2026-06-29T16:30:00Z,15,
PG-201,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-202,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-203,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-204,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,0,YES,,YES,2026-06-27T23:53:49.694Z,15,
PG-205,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-206,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-207,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-208,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
PG-209,Settings,Frontend Dev (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,4,1,NO,,YES,2026-06-27T23:53:49.694Z,15,
INFRA-TF-001,Infrastructure,DevOps (STOA-Foundation),Completed,0,C05_DELIVERED_ARTIFACT_ONLY,YES,NO,,NO,NO,NO,NO,2,2,NO,,NO,,,"No dedicated implementing PR / title hit. #284 is only the task-DEFINITION doc (ADR-064). The provider-schema fix appears folded into #286 (INFRA-TF-004, whose title says ""schema fix"") and the module migrations in #289/#299. Likely done-but-bundled — needs owner confirmation that `terraform validate` is green."
INFRA-TF-002,Infrastructure,DevOps (STOA-Foundation),Completed,0,C03_DELIVERED_PR_EVIDENCED_NO_ATTEST,YES,NO,,NO,NO,NO,NO,2,2,NO,289,NO,,,"Shipped via #289 ""feat(infra): events/ingestion/notifications workers ... (INFRA-TF-002)"". CSV row stale."
INFRA-TF-003,Infrastructure,DevOps (STOA-Foundation),Completed,0,C03_DELIVERED_PR_EVIDENCED_NO_ATTEST,YES,NO,,NO,NO,NO,NO,1,1,NO,299,NO,,,"Shipped via #299 ""feat(infra): migrate supabase module to official provider (INFRA-TF-003)"". CSV row stale."
INFRA-TF-004,Infrastructure,DevOps (STOA-Foundation),Completed,0,C03_DELIVERED_PR_EVIDENCED_NO_ATTEST,YES,NO,,NO,NO,NO,NO,2,2,NO,286,NO,,,"Shipped via #286 ""feat(infra): terraform SSOT — HCP backend, schema fix, tfvars + monitoring (INFRA-TF-004)"". CSV row stale."
INFRA-TF-005,Infrastructure,DevOps (STOA-Foundation),Completed,0,C03_DELIVERED_PR_EVIDENCED_NO_ATTEST,YES,NO,,NO,NO,NO,NO,3,2,NO,296|291,NO,,,Shipped via #296 (import runbook) + #291 (build 3 worker images) — both title hits. CSV row stale.
IFC-314,Integration,Backend Eng (STOA-Domain),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,9,9,NO,333|215|367,NO,,,"Shipped across #333 (CRM→portal delivery & billing sync), #367 (setup-fee invoicing), #215 (N+1 detector portion). Multiple title hits. CSV row stale."
AUTOMATION-003,AI Foundation,AI Specialist (STOA-Intelligence),Completed,0,C01_DELIVERED_ATTESTED_CLEAN,YES,YES,COMPLETE,YES,NO,NO,NO,3,3,NO,,NO,2026-06-30T14:27:31Z,180,
