"file","export","line","action","priority","rationale"
"packages/platform/src/queues/bull-board.ts","setupBullBoard","89","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/bull-board.ts","getBullBoardInstance","109","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/bull-board.ts","configureBullBoardForExpress","127","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/queues/bull-board.ts","configureBullBoardForFastify","157","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/workflow/engine.ts","DEFAULT_TEMPORAL_CONFIG","579","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/workflow/rules-engine.ts","createCaseEscalationRule","679","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/workflow/rules-engine.ts","createLeadScoringRule","723","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/workflow/rules-engine.ts","createTaskAssignmentRule","760","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/platform/src/workflow/rules-engine.ts","resetRulesEngine","814","wire-runtime","high","Platform infra APIs appear unconsumed; wire in worker/API startup flows."
"packages/ui/src/components/status-select-dialog.tsx","StatusSelectDialog","79","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/ui/src/lib/icon-mapping.ts","ICON_SIZE_CLASSES","128","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/ui/src/components/confirmation-dialog.tsx","ConfirmationDialog","58","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"packages/domain/src/crm/task/Task.ts","TaskNotInProgressError","30","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/legal/appointments/ConflictDetector.ts","ConflictDetectionError","7","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/ai/AIConstants.ts","SIGNIFICANCE_LEVELS","298","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/ai/AIConstants.ts","requiresHumanReview","517","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/security/AISecurityEventTypes.ts","getAIEventSeverity","141","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/notifications/Notification.ts","NOTIFICATION_CHANNELS","34","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/notifications/Notification.ts","NOTIFICATION_STATUSES","35","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"packages/domain/src/notifications/Notification.ts","NOTIFICATION_PRIORITIES","36","intentional-api-review","medium","Public domain/port API may be intentional; confirm before removing."
"apps/web/lib/status/incident-tracker.ts","default","366","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/web/src/hooks/useUnsavedChanges.tsx","useFormUnsavedChanges","169","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/web/src/components/sidebar/SidebarContext.tsx","useSidebarOptional","123","wire-or-localize","medium","Sidebar exports often overexposed; wire from app shell or make internal."
"apps/web/src/components/sidebar/SidebarPortalContext.tsx","SidebarPortalProvider","42","wire-or-localize","medium","Sidebar exports often overexposed; wire from app shell or make internal."
"apps/web/src/components/sidebar/SidebarPortalContext.tsx","SidebarPortal","129","wire-or-localize","medium","Sidebar exports often overexposed; wire from app shell or make internal."
"apps/web/src/components/sidebar/SidebarPortalContext.tsx","SidebarPortalTarget","150","wire-or-localize","medium","Sidebar exports often overexposed; wire from app shell or make internal."
"apps/web/src/lib/shared/account-activation.ts","isTokenExpiringSoon","328","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/web/lib/tickets/sla-badge.tsx","SLAQuickView","240","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/web/src/lib/test-runner/spawner.ts","getScopeDescription","413","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/web/src/lib/test-runner/parser.ts","parseVitestOutput","206","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/web/src/components/sidebar/configs/governance.ts","governanceSidebarConfig","4","wire-or-localize","medium","Sidebar exports often overexposed; wire from app shell or make internal."
"apps/api/src/shared/prompt-sanitizer.ts","logSecurityEvent","338","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/api/src/tracing/middleware.ts","tracedPublicProcedure","210","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/tracing/middleware.ts","tracedProtectedProcedure","211","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/tracing/otel.ts","startTracing","152","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/tracing/otel.ts","getSDKInstance","179","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/tracing/sentry.ts","startSpan","194","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/tracing/sentry.ts","setContext","231","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/tracing/correlation.ts","getUserId","156","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/middleware/rate-limit.ts","createAuthenticatedRateLimitMiddleware","174","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/workflow/state-machine.ts","workflowEngine","481","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/workflow/types.ts","humanDecisionSchema","252","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/workflow/types.ts","workflowQuerySchema","260","wire-runtime","high","API runtime utility export suggests incomplete integration path."
"apps/api/src/test/integration-setup.ts","createIntegrationAdminContext","247","ignore-test-only","low","Integration-test helper export; keep and ignore in Knip if intentional."
"apps/api/src/test/integration-setup.ts","isDatabaseReady","329","ignore-test-only","low","Integration-test helper export; keep and ignore in Knip if intentional."
"apps/api/src/shared/audit-encryption-module.ts","resetAuditEncryption","316","review-manual","medium","Needs explicit review to determine wiring vs API intent."
"apps/project-tracker/lib/icons.tsx","ICON_NAME_MAPPING","56","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-parser.ts","parseCSVText","52","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-parser.ts","groupTasksBySprint","191","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/TaskDataContext.tsx","useSprintStatusCounts","242","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/artifact-registry.ts","validateFilesContent","377","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/artifact-registry.ts","isLikelyFabricated","388","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/artifact-registry.ts","scanAllArtifacts","583","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/artifact-registry.ts","enrichWithGitHistoryBatch","1055","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/artifact-registry.ts","getTaskArtifacts","1253","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/paths.ts","getPhaseSummaryPath","166","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/paths.ts","getTaskFilePath","173","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/paths.ts","GOVERNANCE_PATHS","180","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/api-types.ts","createSuccessResponse","25","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/api-types.ts","createErrorResponse","37","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/claude-session-spawner.ts","listSessions","352","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-status.ts","getCsvPath","97","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-status.ts","saveTasks","107","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-status.ts","startSession","129","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-status.ts","completeSession","137","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/csv-status.ts","checkArtifactsExist","147","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/governance.ts","loadGateProfiles","309","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/governance.ts","loadSprintSummary","429","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/governance.ts","enhanceTaskWithGovernance","568","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/governance.ts","getTasksByTier","603","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/subprocess-spawner.ts","killSubprocess","337","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/subprocess-spawner.ts","killAllSubprocesses","360","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/subprocess-spawner.ts","getActiveSubprocesses","385","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/subprocess-spawner.ts","spawnParallelAgents","397","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/subprocess-spawner.ts","validateScripts","445","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/execution-history.ts","getRunsByDateRange","357","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","formatPercentage","14","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","formatNumber","21","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","getStatusColor","34","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","getCompletionColor","48","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","parseDependencies","57","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","parseArtifacts","68","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","calculateCompletionRate","79","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","isAIAssisted","99","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","getPriorityColor","107","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","sortBy","144","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/utils.ts","debounce","157","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/components/ContextPackStatus.tsx","ContextStatusIndicator","231","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/components/ContractTagList.tsx","ContractComplianceIndicator","180","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/components/GateValidationTable.tsx","GateValidationSummary","307","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/components/PlanDeliverablesStatus.tsx","PlanVerificationIndicator","272","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/data-sync/file-io.ts","resolvePrettierBin","49","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/data-sync/orchestrator.ts","formatSyncResult","227","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/data-sync/validation.ts","validateMetricsConsistency","14","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
"apps/project-tracker/lib/data-sync/schedule-sync.ts","getScheduleSummary","169","unexport-or-localize","high","Tracker internals are over-exported; make non-public unless imported externally."
