Tabela de artefatos:
| Layer | Artifact | Purpose | Ferramentas | Critérios |
| Business Context | Métricas Chave de Negócio (KPIs) | Definir indicadores que medem o sucesso do produto/sistema no contexto do negócio. | Confluence, Notion, Google Sheets, Ferramentas de BI (Tableau, PowerBI) | Relevância, Mensurabilidade, Acionabilidade, Temporalidade |
| Business Context | Métricas de Produto | Definir como uso e engajamento com o produto são medidos (DAU, features mais usadas, etc.). | Amplitude, Mixpanel, Google Analytics, Confluence | Relevância para o produto, Clareza da fórmula, Segmentabilidade |
| Business Context | Roadmap do Produto (Visão de Alto Nível) | Comunicar a direção futura do produto, principais épicos ou funcionalidades planejadas. | Productboard, Roadmunk, Aha!, Jira, Trello, Confluence, Miro | Clareza da visão, Priorização Justificada, Realismo, Comunicação eficaz |
| Business Context | Análise Competitiva Resumida | Documentar principais concorrentes, seus pontos fortes/fracos e diferenciais do produto. | Confluence, Notion, Miro, Google Slides/Docs | Objetividade, Foco nos diferenciais, Atualidade, Relevância estratégica |
| Decision Context | Mapa de Capacidades de Negócio (Capability Map) | Mapear capacidades de negócio e como os sistemas/componentes as suportam. | Lucidchart, Miro, Enterprise Architect, Orbus iServer, LeanIX | Abrangência, Clareza da hierarquia, Alinhamento com estratégia, Estabilidade |
| 3. Código e Regras de Engenharia |  |  |  |  |
| Engineering Standards | README Estruturado por Repositório/Serviço | Fornecer visão geral do componente, como rodar, arquitetura resumida e links relevantes. | Markdown (GitHub, GitLab, Bitbucket), ReadTheDocs | Clareza, Concisão, Informação acionável (como rodar), Atualização |
| Engineering Standards | Padrões e Boas Práticas de Desenvolvimento | Documentar convenções de codificação, design patterns, tratamento de erros, logging, etc. | Confluence, GitHub Wiki, Notion, ReadTheDocs | Clareza, Exemplificação, Justificativa dos padrões, Adoção pela equipe |
| Engineering Standards | Diretivas do Repositório e Processo de CI/CD | Especificar linters, build, testes obrigatórios, branching model, versionamento, pipeline CI/CD. | Confluence, GitHub (Actions workflow files), Jenkinsfile, GitLab CI YML | Clareza, Automatização, Reprodutibilidade, Eficiência do pipeline |
| Engineering Standards | Snippets de Código Exemplificando Padrões | Ilustrar boas práticas com exemplos práticos de código. | GitHub Gists, Confluence, Notion, IDE Snippets | Relevância, Clareza, Corretude, Facilidade de reuso |
| Engineering Standards | Exemplos de Práticas Boas e Ruins (Do's and Don'ts) | Comparar código bom vs. ruim para guiar desenvolvedores. | Confluence, GitHub Wiki, Notion, Blog interno | Clareza do contraste, Justificativa, Relevância dos exemplos |
| Engineering Standards | Links para Arquivos de Código Relevantes | Referenciar implementações exemplares de padrões e arquitetura no código base. | Confluence, GitHub (links diretos para código), READMEs | Precisão do link, Relevância do exemplo, Contextualização |
| Engineering Standards | Guia de Estilo de Código Detalhado | Definir convenções de nomenclatura, comentários, estrutura de módulos, complexidade. | Confluence, GitHub Wiki, ESLint/Prettier configs, Checkstyle rules | Abrangência, Clareza das regras, Automatização (via linters), Consistência |
| Engineering Standards | Processo de Code Review (Checklists e Diretrizes) | Definir critérios para aprovação de PRs, o que buscar na revisão, papéis e responsabilidades. | Confluence, GitHub (PR templates), Notion | Clareza dos critérios, Objetividade, Foco na qualidade, Construtividade |
| Testing Strategy | Estratégia de Testes Detalhada (Test Strategy Document) | Descrever abordagens para tipos de teste (unitário, integração, E2E, etc.), ferramentas, cobertura. | Confluence, Notion, TestRail, Xray (Jira) | Abrangência, Clareza da abordagem, Definição de responsabilidades, Métricas de qualidade |
| Engineering Standards | Gerenciamento de Dependências | Definir política para adicionar/atualizar dependências, varredura de vulnerabilidades. | Confluence, GitHub (Dependabot), Snyk, Trivy, OWASP Dependency-Check | Clareza da política, Segurança, Atualização, Processo de mitigação |
| 4. Histórico e Racional Técnico |  |  |  |  |
| Lock decision | ADRs (Architecture Decision Records) | Registrar decisões arquiteturais, contexto, alternativas, e o porquê da escolha. Status do ADR. | GitHub (Markdown + ADR tools), Confluence, Notion, Log4brains | Clareza do problema/decisão, Justificativa robusta, Rastreabilidade, Imutabilidade (após decisão) |
| Propose change | RFCs (Requests for Comments) Passados e Ativos | Documentar discussões sobre propostas técnicas relevantes antes da decisão/implementação. | Confluence, GitHub Issues/Discussions, Google Docs, Notion | Clareza da proposta, Abrangência da discussão, Participação, Registro do resultado |
| Change Tracking | Changelogs / Notas de Release Detalhadas | Documentar o que mudou em cada versão, por que, e o impacto. | GitHub Releases, GitLab Releases, Confluence, Keep a Changelog format | Precisão, Clareza do impacto, Consistência do formato, Tempestividade |
| Technical Rationale | Notas de Reuniões Técnicas Chave | Registrar resumos, decisões ou discussões de reuniões que influenciaram o design/decisões. | Confluence, Notion, Google Docs, Teams/Slack (com resumo formalizado) | Concisão, Clareza das decisões/ações, Rastreabilidade, Acessibilidade |
| Track decisions | Logs de Decisões Menores | Historizar decisões técnicas menores que não justificam um ADR completo. | Confluence (página dedicada), Notion, Excel/Google Sheets, Trello | Facilidade de registro, Pesquisabilidade, Contexto suficiente |
| Technical Rationale | Análises de Trade-offs Detalhadas | Documentar alternativas técnicas avaliadas e os motivos detalhados para escolhas/descartes. | Confluence, Notion, Miro, Google Docs | Clareza das opções, Rigor da análise, Justificativa explícita, Imparcialidade |
| Technical Rationale | Post-mortems de Decisões Problemáticas/Revertidas | Analisar decisões passadas problemáticas, aprendizados e como evitar no futuro. | Confluence, Notion, Google Docs | Análise de causa raiz (blameless), Lições aprendidas claras, Ações de melhoria |
| Validate ideas | Documentação de Provas de Conceito (PoCs) e Protótipos | Registrar objetivos, escopo, resultados e aprendizados de PoCs/protótipos, mesmo que descartados. | Confluence, GitHub Wiki, Notion, Google Slides/Docs | Clareza dos objetivos/resultados, Justificativa da conclusão, Replicabilidade (se aplicável) |
| Documentation Quality | Checklist de Qualidade para ADRs | Definir critérios editoriais e técnicos para garantir a qualidade e completude dos ADRs. | Confluence, Notion, Google Docs, GitHub PR Template | Objetividade, Abrangência, Clareza dos critérios, Facilidade de uso |
| 5. Interface e Contratos |  |  |  |  |
| Interface Contracts | Especificação OpenAPI (Swagger) para APIs REST | Descrever rotas, parâmetros, schemas, respostas e exemplos de APIs REST. | Swagger Editor, Stoplight, Postman, Insomnia, Apicurio, Springfox/Swashbuckle | Conformidade com padrão OpenAPI, Precisão, Completude, Exemplos úteis |
| Interface Contracts | Especificação AsyncAPI para Sistemas Orientados a Eventos | Descrever canais, mensagens, schemas e protocolos para sistemas de mensageria. | AsyncAPI Studio, Stoplight, Solace PubSub+ Event Portal | Conformidade com padrão AsyncAPI, Precisão, Clareza dos schemas de evento |
| Interface Contracts | Exemplos de Payloads Reais e Casos de Borda | Fornecer exemplos de dados reais, incluindo variações e casos de erro, para APIs e eventos. | Postman Collections, JSON files em repos, Confluence, Swagger/AsyncAPI | Realismo, Cobertura de casos (sucesso, erro, borda), Clareza |
| Interface Contracts | Exemplos de Uso de APIs (cURL, Postman Collections) | Incluir chamadas completas (headers, params, body) e respostas para endpoints principais. | Postman, Insomnia, cURL (documentado), Confluence, READMEs | Facilidade de uso, Corretude, Cobertura de fluxos comuns |
| Interface Contracts | Cenários de Tratamento de Erros e Códigos de Status | Descrever como a API lida com falhas e o significado dos códigos de erro. | Confluence, Swagger (descrições de resposta), Postman | Clareza, Consistência, Abrangência dos cenários de erro |
| Interface Contracts | Estratégias de Versionamento de API | Explicar como APIs evoluem, tratamento de breaking changes e comunicação. | Confluence, READMEs, Documentação da API | Clareza da estratégia, Previsibilidade, Comunicação eficaz de mudanças |
| Interface Contracts | Políticas de Rate Limiting e Quotas por API | Documentar limites de requisições, como são aplicados e comunicados. | Confluence, Documentação da API, Portal do Desenvolvedor | Clareza dos limites, Transparência da política, Informações de contato para exceções |
| Interface Contracts | Detalhes de Autenticação e Autorização por API/Endpoint | Descrever fluxos de autenticação (OAuth2, JWT), escopos, papéis e permissões. | Confluence, Documentação da API (seção de segurança), Auth0/Okta docs | Precisão, Clareza dos fluxos, Detalhamento de escopos/permissões |
| Interface Contracts | SLAs (Service Level Agreements) e SLOs (Service Level Objectives) das APIs | Definir metas de disponibilidade, latência, taxa de erro para as interfaces. | Confluence, Documentação da API, Contratos com clientes | Clareza das métricas, Realismo das metas, Processo de monitoramento |
| 6. Operação e Observabilidade |  |  |  |  |
| Operational Readiness | Runbooks/Playbooks Operacionais | Instruir diagnóstico e resolução de problemas comuns, e procedimentos operacionais. | Confluence, Notion, PagerDuty, ServiceNow, Jupyter Notebooks | Clareza dos passos, Precisão, Acionabilidade, Atualização, Testabilidade |
| Observability | Alertas Configurados e Seus Racionais | Documentar o que é monitorado, thresholds, severidade, e o porquê de cada alerta. | Confluence, Notion, Ferramentas de Alerta (Datadog, Prometheus Alertmanager) | Racional claro, Thresholds adequados, Acionabilidade do alerta, Baixo ruído (poucos falsos positivos) |
| Observability | Métricas Principais de Performance e Saúde (KPIs de Operação) | Detalhar métricas como tempo de resposta, taxa de erro, vazão, uso de recursos. | Confluence, Grafana, Datadog, New Relic, Prometheus (documentação) | Relevância, Clareza da definição, Facilidade de acesso (dashboards), Metas (SLOs) |
| Operational Readiness | Planos de Resposta a Incidentes | Detalhar ações para falhas críticas, canais de comunicação, papéis e escalonamento. | Confluence, PagerDuty, ServiceNow, Opsgenie | Clareza dos papéis/responsabilidades, Processos bem definidos, Tempos de resposta esperados |
| Operational Readiness | Análises Post-Mortem de Incidentes (Blameless) | Registrar linha do tempo, causas raiz, impacto, mitigação e aprendizados de incidentes. | Confluence, Notion, Google Docs, Jira (para rastrear ações) | Foco no aprendizado (blameless), Análise profunda, Ações corretivas claras, Tempestividade |
| Observability | Dashboards de Monitoramento (Links ou Screenshots Anotados) | Referenciar dashboards com métricas de saúde/performance, explicando gráficos principais. | Confluence (embed/links), Grafana, Datadog, Kibana, New Relic | Acessibilidade, Clareza visual, Relevância das métricas exibidas, Intuitividade |
| Operational Readiness | Estratégia de Backup e Restore | Descrever como dados críticos são backupeados, frequência, retenção e processo de restore. | Confluence, Documentação específica do DB/serviço cloud | Clareza do processo, RPO/RTO definidos, Testes de restore regulares, Segurança dos backups |
| Operational Readiness | Plano de Recuperação de Desastres (DRP) (Resumido) | Definir estratégias de alto nível para continuidade do negócio em caso de falhas maiores. | Confluence, Documentação de Disaster Recovery | Clareza dos cenários, RTO/RPO definidos, Papéis e responsabilidades, Testes periódicos |
| Operational Readiness | Gerenciamento de Configuração e Segredos | Descrever como configurações de ambiente e segredos são gerenciados, armazenados e distribuídos. | Confluence, Vault, AWS Secrets Manager, Azure Key Vault, Git (para config não sensível) | Segurança, Auditabilidade, Versionamento (para config), Facilidade de rotação (para segredos) |
| Observability | Padrões de Logging e Rastreamento Distribuído | Definir o que logar, formato, níveis, ferramentas de agregação e implementação de tracing. | Confluence, Documentação de bibliotecas de logging/tracing (OpenTelemetry) | Estrutura dos logs, Níveis adequados, Correlação (tracing IDs), Performance (não impactar app) |
| 7. Documentação para LLM-friendly Reading |  |  |  |  |
| LLM-friendly Docs | Markdown Estruturado e Semântico | Facilitar leitura e chunking pela LLM com headings, listas, tabelas, nomes padronizados. | VS Code, Typora, Obsidian, GitHub/GitLab (Markdown renderers) | Consistência da estrutura, Uso correto de Markdown, Granularidade adequada para chunking |
| LLM-friendly Docs | Guia de Estilo de Documentação | Definir regras de tom, estrutura, terminologia para uniformidade dos documentos. | Confluence, Notion, Google Docs, Vale (linter de prosa) | Clareza das regras, Abrangência, Consistência, Facilidade de consulta |
| LLM-friendly Docs | Terminologia Consistente e Referência ao Glossário | Usar termos do glossário uniformemente e linkar para ele. | Confluence (macros de link), Notion (links), Ferramentas de glossário | Consistência, Redução de ambiguidade, Facilidade de acesso ao glossário |
| LLM-friendly Docs | Sumário ou Índice Geral e por Seção | Facilitar navegação e entendimento da estrutura pela LLM. | MkDocs, Docusaurus, ReadTheDocs, Confluence (macros) | Clareza, Completude, Navegabilidade, Atualização automática (ideal) |
| LLM-friendly Docs | Estratégia de Chunking Explícita (se controlável) | Documentar como documentos longos são divididos para melhor processamento pela LLM. | Confluence, Notion (documentando a estratégia) | Clareza da estratégia, Tamanho ótimo dos chunks, Sobreposição (se usada) |
| LLM-friendly Docs | Uso de Metadados nos Documentos | Adicionar metadados (autor, data, tags, status, versão) para filtragem e priorização pela LLM. | Frontmatter em Markdown, Confluence (propriedades de página), SharePoint | Consistência do schema de metadados, Relevância dos metadados, Facilidade de extração |
| LLM-friendly Docs | Interligação Robusta entre Documentos | Usar hyperlinks relativos para conectar conceitos e criar um grafo de conhecimento. | Markdown (links relativos), Confluence (links internos), Obsidian | Densidade dos links, Relevância dos links, Evitar links quebrados |
| 8. Intenção com a LLM |  |  |  |  |
| LLM Intent | Declaração de Intenção Geral | Especificar o que se espera que a LLM faça com a informação (ex: responder devs, criar ADRs). | Confluence, Notion, README do projeto de LLM | Clareza do propósito, Alinhamento com as necessidades, Realismo das expectativas |
| LLM Intent | Tarefas Detalhadas e Casos de Uso para a LLM | Especificar objetivos e tarefas concretas para a LLM. | Confluence, Notion, Jira (para tarefas da LLM) | Especificidade, Mensurabilidade (se possível), Clareza do resultado esperado |
| LLM Intent | Exemplos de Entradas (Prompts) e Saídas Esperadas | Fornecer exemplos de bons prompts e respostas ideais para treinar/guiar a LLM. | Confluence, Notion, Google Docs, Arquivos de texto/JSON | Qualidade dos exemplos, Cobertura de casos de uso, Clareza do formato esperado |
| LLM Intent | Lista de Perguntas Frequentes (FAQ) para a LLM | Criar FAQ com respostas canônicas para a LLM usar ou aprender. | Confluence, Notion, GitHub Wiki, FAQ Txt Files | Relevância das perguntas, Precisão das respostas, Abrangência |
| LLM Intent | Limitações Conhecidas e Anti-Padrões de Prompting | Documentar o que não esperar da LLM e exemplos de prompts ruins. | Confluence, Notion | Honestidade sobre limitações, Clareza dos anti-padrões, Ajuda a gerenciar expectativas |
| LLM Intent | Exemplos de Cadeias de Prompts (Chain-of-Thought/Few-Shot) | Mostrar como sequências de prompts ou prompts com exemplos podem levar a resultados complexos. | Confluence, Notion, Google Docs | Clareza da lógica da cadeia, Relevância para tarefas complexas, Eficácia demonstrada |
| LLM Intent | Mecanismo de Feedback para a LLM | Definir como o time pode fornecer feedback sobre a qualidade das respostas da LLM. | Ferramentas de Chat (com botões de feedback), Formulários Google, Slack channel | Facilidade de uso, Estrutura do feedback (ex: thumbs up/down, comentários), Ação baseada no feedback |
| 9. Segurança |  |  |  |  |
| Architecture Thinking | Modelo de Ameaças (Threat Model) | Identificar ativos, ameaças (STRIDE), vulnerabilidades e contramedidas. | OWASP Threat Dragon, Microsoft Threat Modeling Tool, Lucidchart, Draw.io | Abrangência (ativos, ameaças), Relevância das contramedidas, Atualização periódica |
| Engineering Standards | Requisitos de Segurança (Funcionais e Não Funcionais) | Listar requisitos de segurança (OWASP Top 10, criptografia, MFA, SAST/DAST). | Confluence, Jira (como NFRs), Google Docs | Clareza, Testabilidade, Abrangência, Rastreabilidade |
| Engineering Standards | Processo de Gerenciamento de Vulnerabilidades | Descrever como vulnerabilidades são identificadas, reportadas, triadas, corrigidas e verificadas. | Confluence, Jira (para tracking), Snyk, Veracode, Qualys | Clareza do processo, SLAs de correção, Integração com DevSecOps, Cobertura |
| Business Context | Classificação de Dados e Políticas de Manuseio | Definir tipos de dados (PII, confidencial) e requisitos de segurança para cada um. | Confluence, Notion, OneTrust, BigID | Clareza das classificações, Abrangência, Conformidade (LGPD/GDPR), Treinamento da equipe |
| 10. Dados (Detalhes da Camada de Dados) |  |  |  |  |
| Document system | Dicionário de Dados Detalhado | Descrever cada campo de BDs/mensagens (tipo, restrições, significado, PII). | Confluence, Dataedo, Erwin DM, SchemaSpy, Excel/Google Sheets | Precisão, Completude, Clareza das definições, Atualização, Consistência |
| Document system | Linhagem de Dados (Data Lineage) | Mostrar origem, transformações e destino dos dados através dos sistemas e processos. | Collibra, Informatica EDC, Apache Atlas, Talend Data Catalog, dbt docs | Precisão do fluxo, Visualização clara, Abrangência, Auditabilidade |
| Document system | Políticas de Retenção, Arquivamento e Exclusão de Dados | Definir por quanto tempo dados são mantidos, como são arquivados ou excluídos (LGPD/GDPR). | Confluence, Documentação legal/compliance | Conformidade legal, Clareza da política, Processos definidos, Auditabilidade |
| 11. Custos e Otimização |  |  |  |  |
| Cost Awareness | Análise de Impacto de Custo (Cost Impact Analysis) | Detalhar como decisões arquiteturais/engenharia impactam custos (infra, licenças). | Excel/Google Sheets, AWS Cost Explorer, Azure Cost Management, CloudHealth | Precisão das estimativas, Abrangência dos custos considerados, Clareza das premissas |
| Cost Awareness | Bill of Materials (BoM) Estimado para Componentes Chave | Listar recursos cloud e seus custos estimados/reais para componentes principais. | Excel/Google Sheets, Cloud Provider Consoles, Ferramentas de FinOps | Detalhamento adequado, Precisão dos custos, Atualização, Rastreabilidade por serviço/componente |
| Cost Awareness | Iniciativas de Otimização de Custos (Realizadas e Planejadas) | Documentar esforços para reduzir custos (right-sizing, spot instances, otimizações). | Confluence, Jira (para tracking de iniciativas), Ferramentas de FinOps | Clareza da iniciativa, Potencial de economia, Status de implementação, Resultados medidos |
| 12. Onboarding e Treinamento (Material de Apoio) |  |  |  |  |
| Knowledge Transfer | Guias de Configuração de Ambiente de Desenvolvimento Local | Fornecer passo a passo detalhado para novos devs configurarem seus ambientes. | Confluence, GitHub Wiki, READMEs (seção de setup), Dockerfiles (para dev env) | Clareza dos passos, Completude, Funcionalidade (ambiente funciona após seguir), Atualização |
| Knowledge Transfer | Tutoriais para Funcionalidades Chave ou Fluxos Complexos | Guiar "hands-on" no uso, desenvolvimento, teste ou depuração de partes importantes. | Confluence, GitHub Wiki, Katacoda, Jupyter Notebooks, Screencasts (Loom) | Clareza, Praticidade, Relevância do tópico, Resultados de aprendizado esperados |
| Knowledge Transfer | Mapa de Competências e Especialistas da Equipe (Opcional) | Identificar "go-to persons" ou especialistas em diferentes áreas do sistema/tecnologias. | Confluence, Notion, Excel/Google Sheets | Atualização, Precisão, Facilidade de consulta, Consentimento dos listados |
Esta tabela deve cobrir de forma abrangente os artefatos discutidos, seus propósitos, ferramentas comuns e critérios de qualidade. Lembre-se que alguns artefatos podem pertencer a múltiplas "Layers", e as ferramentas e critérios podem variar dependendo do contexto específico da sua organização.
